orderId,isin,side,quantity,minimumExecutionQuantity,price,brokerId,shareholderId,entryTime,peakSize,displayedQuantity
1,SEC1,BUY,304,0,15700,1,1,2024-02-23T10:59:54.970,0,0
2,SEC1,BUY,43,0,15500,1,2,2024-02-23T10:59:55.970,0,0
3,SEC1,BUY,445,0,15450,1,2,2024-02-23T10:59:56.970,0,0
4,SEC1,BUY,526,0,15450,1,2,2024-02-23T10:59:57.970,0,0
5,SEC1,BUY,1000,0,15400,1,1,2024-02-23T10:59:58.970,0,0
6,SEC1,SELL,350,0,15800,2,3,2024-02-23T10:59:54.980,0,0
7,SEC1,SELL,285,0,15810,2,3,2024-02-23T10:59:55.980,0,0
8,SEC1,SELL,800,0,15810,3,4,2024-02-23T10:59:56.980,0,0
9,SEC1,SELL,340,0,15820,3,4,2024-02-23T10:59:57.980,0,0
10,SEC1,SELL,65,0,15820,2,3,2024-02-23T10:59:58.980,0,0
11,SEC2,BUY,304,0,15700,1,1,2024-02-23T11:09:10.012,0,0
12,SEC2,BUY,43,0,15500,2,1,2024-02-23T10:00:10.012,0,0
13,SEC2,BUY,445,0,15450,2,2,2024-02-23T11:06:10.012,100,100
14,SEC2,BUY,526,0,15450,3,3,2024-02-23T11:06:11.012,0,0
15,SEC2,BUY,1000,0,15400,3,1,2024-02-23T11:06:12.012,0,0
